ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
30,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,11.0,6.0,0.67,2.0,4.0,11.0,8.0,4.0,5.0,0.0,56.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.5,0.0,0.0,1,1.0,16.0,32.0,1,0
31,0,1,0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,17.0,9.0,41.0,47.0,0.4,26.0,101.0,129.0,101.0,42.0,25.0,3.0,1013.0,5.0,0.23,21.0,29.0,1.0,5.0,2.0,0.22,0.0,0.0,4,4.0,736.0,368.0,1,1
32,1,1,2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,11.0,5.0,11.0,6.0,0.53,1.0,34.0,33.0,30.0,5.0,6.0,0.0,114.0,0.0,0.0,6.0,12.0,0.0,20.0,7.0,0.35,1.0,0.0,5,5.0,22.666666666666668,136.0,1,0
33,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,7.0,0.71,2.0,15.0,14.0,19.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
34,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,7.0,0.71,2.0,15.0,14.0,19.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
35,3,1,0,0.0,0.0,0.0,5.0,0.0,6.0,1.0,0.0,13.0,5.0,11.0,43.0,0.67,21.0,97.0,105.0,108.0,20.0,25.0,1.0,1024.0,1.0,0.0,41.0,35.0,0.0,5.0,1.0,0.2,0.0,0.0,1,1.0,1347.0,673.5,0,1
36,3,1,4,0.0,0.0,0.0,4.0,0.0,4.0,0.0,6.0,19.0,9.0,11.0,59.0,0.59,21.0,161.0,191.0,191.0,9.0,19.0,4.0,1142.0,10.0,0.34,73.0,39.0,0.0,40.0,16.0,0.4,3.0,0.0,10,10.0,218.71428571428572,306.2,2,1
37,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,13.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,184.0,0.0,0.0,20.0,0.0,0.0,5.0,2.0,0.22,0.0,21.0,0,0.0,90.0,90.0,0,0
38,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,11.0,16.0,0.5,3.0,42.0,41.0,52.0,5.0,3.0,1.0,310.0,1.0,0.18,0.0,7.0,0.0,19.0,5.0,0.26,2.0,0.0,2,2.0,156.0,156.0,1,1
39,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
