ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
61,Justin Kluivert,MID,Bournemouth,1,0,0,0,4,0,672,1,0,7,10,13,,28,,8,,,,,,1,381,1,,,52,0,56,20,36%,7,
62,Jamal Lowe,MID,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
63,Emiliano Marcondes,MID,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
64,Kieffer Moore,FWD,Bournemouth,1,0,0,0,0,0,93,0,0,1,2,5,,0,,0,,,,,,0,40,1,,,5,1,6,2,33%,2,
65,Dango Ouattara,MID,Bournemouth,0,0,0,0,1,0,316,2,0,1,12,12,,45,,22,,,,,,2,448,1,,,15,1,30,7,23%,2,
66,Ben Pearson,MID,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
67,Joe Rothwell,MID,Bournemouth,0,0,0,0,0,0,380,0,0,0,4,6,,7,29%,3,32,16,18,0,2,0,202,0,17%,3,4,0,2,0,0%,0,
68,Antoine Semenyo,FWD,Bournemouth,3,0,0,0,3,0,743,3,0,8,13,13,,24,,6,,,,,,2,587,6,,,43,0,70,31,44%,5,
69,Marcos Senesi,DEF,Bournemouth,2,0,0,0,3,0,1025,4,0,4,9,14,44,55,58%,35,164,114,131,41,41,5,"1,259",2,44%,125,41,3,,,,,
70,Marcus Tavernier,MID,Bournemouth,2,0,0,0,4,0,993,1,0,3,11,12,,53,64%,5,142,132,169,13,31,4,760,7,21%,26,20,0,53,16,30%,3,
71,Mark Travers,GKP,Bournemouth,0,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,0,105,,,23,1,,,,,,13
72,Illia Zabarnyi,DEF,Bournemouth,0,0,0,0,4,0,1530,3,0,1,12,16,67,59,54%,33,153,167,115,77,61,0,"1,802",0,0%,131,24,1,,,,,
73,Milos Kerkez,DEF,Bournemouth,0,0,0,1,3,0,1160,2,0,0,8,12,37,47,55%,20,93,98,88,18,32,1,627,3,20%,22,25,0,,,,,
74,Ben Greenwood,DEF,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
75,Max Aarons,DEF,Bournemouth,0,0,0,0,2,0,949,1,0,0,12,62,174,141,66%,73,407,404,383,41,111,4,"2,887",10,21%,94,68,0,,,,,
76,Alex Scott,MID,Bournemouth,0,0,0,0,0,0,230,2,0,1,8,11,,24,63%,12,63,76,89,17,22,1,432,4,19%,15,20,0,15,4,27%,0,
77,Tyler Adams,MID,Bournemouth,0,0,0,0,0,0,0,0,0,0,2,1,,4,75%,4,7,11,4,2,3,0,69,0,0%,4,0,0,0,0,0%,0,
78,Luis Sinisterra,MID,Bournemouth,1,0,0,0,1,0,280,0,0,2,7,7,,23,,8,,,,,,2,281,2,,,11,0,27,9,33%,1,
79,Kristoffer Ajer,DEF,Brentford,0,0,0,0,2,0,723,4,0,2,8,12,33,38,55%,25,60,121,69,65,23,1,722,5,23%,31,25,1,,,,,
80,Ellery Balcombe,GKP,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
81,Shandon Baptiste,MID,Brentford,1,0,0,0,0,0,188,0,0,1,3,6,,4,100%,3,17,13,18,3,6,1,86,1,67%,4,3,0,2,2,100%,0,
82,Mads Bidstrup,MID,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
