ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
315,Carlton Morris,FWD,Luton,3,0,0,0,2,0,1200,1,0,11,6,24,,15,,1,,,,,,4,718,5,,,49,2,71,31,44%,7,
316,Admiral Muskwe,FWD,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
317,Admiral Muskwe,FWD,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
318,Chiedozie Ogbene,FWD,Luton,1,0,0,0,1,0,945,0,0,4,5,18,,17,,7,,,,,,1,627,5,,,8,1,35,14,40%,1,
319,Fred Onyedinma,MID,Luton,0,0,0,0,0,0,0,0,0,0,1,6,,10,60%,1,10,26,41,8,6,0,85,0,8%,0,10,0,5,2,40%,0,
320,Gabriel Osho,DEF,Luton,1,0,0,0,1,0,596,1,0,2,4,12,47,41,54%,31,103,98,84,37,37,0,705,0,33%,27,23,2,,,,,
321,Aribim Pepple,FWD,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
322,Dion Pereira,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
323,Dan Potts,DEF,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
324,Glen Rea,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
325,James Shea,GKP,Luton,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,0,8,,,3,0,,,,,,2
326,Elliot Thorpe,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
327,Jack Walton,GKP,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
328,Louie Watson,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
329,Louie Watson,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
330,Cauley Woodrow,FWD,Luton,0,0,0,0,0,0,74,0,0,1,3,15,,16,,1,,,,,,1,139,2,,,8,1,16,4,25%,0,
331,Teden Mengi,DEF,Luton,1,0,0,0,1,0,950,1,0,1,5,18,59,54,41%,57,126,128,95,60,43,0,925,0,0%,70,35,0,,,,,
332,Ryan Giles,DEF,Luton,0,0,0,0,0,0,427,0,0,0,2,8,14,8,75%,4,21,17,11,3,0,0,128,0,24%,2,2,0,,,,,
333,Tom Lockyer,DEF,Luton,1,0,0,1,0,0,1169,4,0,1,2,9,23,25,64%,23,89,70,42,31,17,1,418,1,0%,45,15,0,,,,,
334,Pelly Ruddock Mpanzu,MID,Luton,0,0,0,0,1,0,718,0,0,0,5,18,,13,38%,9,54,48,54,12,19,0,343,1,27%,16,9,0,11,1,9%,1,
335,Pelly Ruddock Mpanzu,MID,Luton,0,0,0,0,1,0,718,0,0,0,5,18,,13,38%,9,54,48,54,12,19,0,343,1,27%,16,9,0,11,1,9%,1,
336,Tahith Chong,MID,Luton,1,0,0,0,0,0,679,3,0,4,3,24,,36,61%,8,104,133,130,9,22,0,499,0,23%,15,21,1,31,7,23%,1,
337,Issa Kaboré,DEF,Luton,0,0,0,0,0,0,1002,4,0,0,3,16,39,52,54%,16,102,117,92,18,20,2,540,5,21%,16,27,0,,,,,
338,Thomas Kaminski,GKP,Luton,0,3.76,0,0,1,64,1530,3,0,0,6,24,85,,,,,,,,,0,"1,310",,,312,0,,,,,,145
339,Ross Barkley,MID,Luton,1,0,0,0,1,0,893,3,0,5,5,20,,47,40%,25,201,195,185,44,34,4,"1,405",6,31%,87,25,1,66,19,29%,1,
340,Jacob Brown,FWD,Luton,2,0,0,0,1,0,867,3,0,2,4,11,,19,,8,,,,,,0,229,1,,,19,0,26,7,27%,3,
341,Aidan Francis-Clarke,DEF,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
342,Tim Krul,GKP,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
343,Jayden Luker,MID,Luton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
344,Manuel Akanji,DEF,Man City,2,0,0,0,3,0,1081,1,1,2,22,2,23,42,67%,23,142,90,72,28,30,0,"2,296",0,22%,81,17,1,,,,,
345,Nathan Aké,DEF,Man City,2,0,0,0,1,0,825,0,0,2,21,2,20,26,62%,14,119,95,49,47,28,2,"1,770",3,9%,19,10,2,,,,,
346,Julián Álvarez,FWD,Man City,4,0,0,0,6,0,1409,2,0,11,27,3,,24,,2,,,,,,9,"1,110",7,,,23,1,98,40,41%,10,
347,Oscar Bobb,MID,Man City,0,0,0,0,0,0,69,0,0,1,12,2,,7,43%,5,17,22,17,1,2,1,168,2,60%,0,2,0,4,2,50%,1,
348,João Cancelo,DEF,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
349,Scott Carson,GKP,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
350,Scott Carson,GKP,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
351,Shea Charles,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
352,Kevin De Bruyne,MID,Man City,0,0,0,0,0,0,22,0,0,4,15,0,,14,64%,4,54,43,70,6,5,10,804,21,26%,22,11,1,44,17,39%,1,
353,Phil Foden,MID,Man City,4,0,0,0,5,0,1334,1,0,19,25,3,,31,65%,13,127,144,143,6,17,8,"1,670",10,21%,42,14,1,105,48,46%,7,
354,Erling Haaland,FWD,Man City,14,0,0,0,4,0,1294,1,0,27,22,3,,6,,2,,,,,,5,381,6,,,18,4,121,59,49%,34,
355,Aymeric Laporte,DEF,Man City,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0%,0,2,0,0,0,0,0,11,0,0%,0,0,0,,,,,
356,Riyad Mahrez,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
357,Máximo Perrone,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
358,Máximo Perrone,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
359,Zack Steffen,GKP,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
360,Jérémy Doku,MID,Man City,2,0,0,0,0,0,693,2,0,3,21,2,,39,,9,,,,,,8,786,5,,,15,0,55,19,35%,1,
361,Mahamadou Susoho,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
362,Mason Mount,MID,Man Utd,0,0,0,0,1,0,397,1,0,1,5,5,,22,64%,6,37,41,41,6,9,0,203,0,29%,6,10,0,5,1,20%,0,
363,Alex Telles,DEF,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
364,Amad Diallo,MID,Man Utd,0,0,0,0,0,0,0,0,0,1,3,4,,10,,1,,,,,,1,167,1,,,5,0,10,4,40%,0,
365,Eric Bailly,DEF,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
366,Christian Eriksen,MID,Man Utd,1,0,0,0,1,0,608,0,0,1,10,10,,18,72%,4,86,25,52,2,7,2,754,3,26%,33,7,0,13,4,31%,0,
367,Alejandro Garnacho,MID,Man Utd,1,0,0,0,5,0,882,2,0,7,16,14,,22,,18,,,,,,4,834,6,,,20,1,100,28,28%,7,
368,Alejandro Garnacho,MID,Man Utd,1,0,0,0,5,0,882,2,0,7,16,14,,22,,18,,,,,,4,834,6,,,20,1,100,28,28%,7,
369,Hannibal Mejbri,MID,Man Utd,1,0,0,0,1,0,130,1,0,1,3,1,,3,100%,0,10,13,16,2,4,0,37,0,0%,2,5,0,1,1,100%,0,
370,Victor Lindelöf,DEF,Man Utd,1,0,0,0,3,0,898,1,0,1,12,6,16,15,67%,12,75,35,50,17,26,1,876,0,0%,26,15,0,,,,,
371,Harry Maguire,DEF,Man Utd,0,0,0,0,3,0,836,1,0,2,11,7,29,24,71%,25,78,103,53,69,19,2,"1,096",2,33%,73,21,1,,,,,
372,Kobbie Mainoo,MID,Man Utd,0,0,0,0,2,0,321,1,0,3,10,8,,47,57%,22,96,120,109,19,26,1,862,0,17%,21,15,0,11,5,45%,0,
373,Tyrell Malacia,DEF,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
374,Anthony Martial,FWD,Man Utd,1,0,0,0,1,0,439,0,0,1,6,7,,4,,0,,,,,,0,137,0,,,3,0,6,4,67%,0,
375,Lisandro Martínez,DEF,Man Utd,0,0,0,1,0,0,375,2,0,0,6,3,12,12,67%,5,33,21,22,4,5,1,442,0,0%,10,6,0,,,,,
376,Lisandro Martínez,DEF,Man Utd,0,0,0,1,0,0,375,2,0,0,6,3,12,12,67%,5,33,21,22,4,5,1,442,0,0%,10,6,0,,,,,
377,Raphaël Varane,DEF,Man Utd,1,0,0,0,2,0,430,0,0,1,13,6,23,18,61%,15,67,43,20,21,5,0,774,0,0%,29,8,1,,,,,
378,Marcus Rashford,MID,Man Utd,2,0,0,0,4,0,1150,2,0,7,16,12,,19,,4,,,,,,2,683,6,,,13,0,62,21,34%,7,
379,Jadon Sancho,MID,Man Utd,0,0,0,0,0,0,76,0,0,0,2,1,,1,,1,,,,,,0,41,0,,,0,0,0,0,0%,0,
380,Shola Shoretire,FWD,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
381,Donny van de Beek,MID,Man Utd,0,0,0,0,0,0,2,0,0,0,0,1,,0,0%,0,0,0,0,0,0,0,1,0,0%,0,0,0,1,0,0%,0,
382,Aaron Wan-Bissaka,DEF,Man Utd,0,0,0,0,2,0,613,2,0,0,8,9,34,42,60%,41,94,89,61,21,19,2,832,1,29%,13,17,0,,,,,
383,Sergio Reguilón,DEF,Man Utd,0,0,0,0,2,0,408,3,0,0,8,13,28,58,48%,21,96,119,88,20,29,4,646,6,26%,23,14,0,,,,,
384,Rasmus Højlund,FWD,Man Utd,0,0,0,0,4,0,938,1,0,10,14,10,,11,,1,,,,,,2,391,0,,,20,0,38,21,55%,13,
385,Omari Forson,MID,Man Utd,0,0,0,0,0,0,0,0,0,0,1,3,,2,0%,0,2,3,4,0,2,1,33,1,0%,0,1,0,1,0,0%,0,
386,Radek Vítek,GKP,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
387,Daniel Gore,MID,Man Utd,0,0,0,0,0,0,0,0,0,0,1,0,,1,100%,1,0,2,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
388,Altay Bayindir,GKP,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
389,Sofyan Amrabat,MID,Man Utd,0,0,0,0,1,0,610,3,0,0,11,7,,27,59%,8,60,48,56,5,6,0,645,0,14%,35,24,0,3,0,0%,0,
390,Joe Hugill,FWD,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
391,Willy Kambwala,DEF,Man Utd,0,0,0,0,0,0,83,0,0,0,2,4,10,3,33%,4,12,11,11,6,2,0,191,0,0%,5,4,0,,,,,
392,Rhys Bennett,DEF,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
393,Rhys Bennett,DEF,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
394,Lewis Hall,DEF,Newcastle,0,0,0,0,0,0,81,1,0,1,8,8,12,28,64%,12,56,52,47,10,11,0,468,0,17%,27,5,0,,,,,
395,Elliot Anderson,MID,Newcastle,0,0,0,0,3,0,407,0,0,0,12,6,,24,75%,8,60,83,87,19,14,2,416,2,16%,4,21,0,19,5,26%,1,
396,Harrison Ashby,DEF,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
397,Sven Botman,DEF,Newcastle,1,0,0,0,2,0,505,1,0,2,7,8,29,20,65%,9,70,56,35,34,17,2,"1,015",2,0%,44,9,2,,,,,
398,Ryan Fraser,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
399,Mark Gillespie,GKP,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
400,Alexander Isak,FWD,Newcastle,7,0,0,0,3,0,866,0,0,21,14,13,,5,,6,,,,,,2,474,5,,,14,1,78,43,55%,21,
401,Emil Krafth,DEF,Newcastle,0,0,0,0,1,0,82,0,0,0,9,6,15,21,67%,9,44,44,43,13,15,0,509,2,47%,6,10,0,,,,,
402,Garang Kuol,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
403,Sean Longstaff,MID,Newcastle,2,0,0,0,6,0,1014,4,0,6,16,13,,54,56%,17,120,117,130,19,22,2,"1,209",5,32%,44,24,0,41,15,37%,7,
404,Allan Saint-Maximin,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
405,Fabian Schär,DEF,Newcastle,0,0,0,0,6,0,1543,2,0,4,17,14,58,42,57%,36,174,150,149,70,72,1,"2,106",2,38%,185,38,1,,,,,
406,Sandro Tonali,MID,Newcastle,1,0,0,0,1,0,437,2,0,1,4,3,,7,100%,2,20,17,19,1,0,0,267,0,36%,7,9,0,3,2,67%,1,
407,Sandro Tonali,MID,Newcastle,1,0,0,0,1,0,437,2,0,1,4,3,,7,100%,2,20,17,19,1,0,0,267,0,36%,7,9,0,3,2,67%,1,
408,Joe Willock,MID,Newcastle,0,0,0,0,0,0,136,0,0,1,4,3,,13,54%,1,26,24,28,1,1,0,153,0,17%,9,3,1,7,4,57%,1,
409,Loris Karius,GKP,Newcastle,0,0,0,0,0,0,0,0,0,0,0,1,4,,,,,,,,,0,31,,,3,0,,,,,,4
410,Tino Livramento,DEF,Newcastle,0,0,0,0,2,0,571,1,0,1,14,9,27,23,57%,25,85,80,48,12,8,0,675,1,19%,13,3,0,,,,,
411,Alex Murphy,DEF,Newcastle,0,0,0,0,0,0,3,0,0,0,2,0,0,1,100%,1,2,1,3,0,0,0,17,0,0%,0,2,0,,,,,
412,Lewis Miley,MID,Newcastle,1,0,0,0,1,0,515,0,0,1,6,9,,33,64%,8,78,58,52,11,12,3,524,3,18%,18,5,0,13,3,23%,1,
413,Ben Parkinson,FWD,Newcastle,0,0,0,0,0,0,24,0,0,0,0,1,,0,,0,,,,,,0,3,0,,,0,0,0,0,0%,0,
414,Michael Ndiweni,FWD,Newcastle,0,0,0,0,0,0,1,0,0,0,1,0,,0,,0,,,,,,0,2,0,,,0,0,0,0,0%,0,
415,Michael Ndiweni,FWD,Newcastle,0,0,0,0,0,0,1,0,0,0,1,0,,0,,0,,,,,,0,2,0,,,0,0,0,0,0%,0,
416,Matt Turner,GKP,Nott'm Forest,0,3.23,0,0,2,42,1170,1,0,0,4,8,28,,,,,,,,,0,473,,,138,0,,,,,,55
417,Callum Hudson-Odoi,MID,Nott'm Forest,1,0,0,0,1,0,390,0,0,8,6,16,,18,,7,,,,,,1,647,4,,,14,0,38,20,53%,2,
418,Anthony Elanga,MID,Nott'm Forest,4,0,0,0,1,0,1183,1,0,5,9,19,,33,,8,,,,,,9,644,14,,,9,1,54,23,43%,10,
419,Harry Arter,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
420,Taiwo Awoniyi,FWD,Nott'm Forest,4,0,0,0,2,0,664,1,0,6,6,11,,9,,1,,,,,,3,172,2,,,9,1,22,11,50%,4,
421,Giulian Biancone,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
422,Josh Bowler,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
423,Mohamed Dräger,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
424,Remo Freuler,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
425,Morgan Gibbs-White,MID,Nott'm Forest,1,0,0,0,3,0,1506,3,0,5,9,19,,36,67%,17,179,197,222,61,70,10,"1,282",16,30%,72,37,1,71,15,21%,5,
426,Ethan Horvath,GKP,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
427,Cheikhou Kouyaté,MID,Nott'm Forest,0,0,0,0,0,0,200,2,0,0,4,4,,8,63%,2,14,21,21,10,10,0,73,0,0%,0,6,0,5,1,20%,1,
428,Richie Laryea,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
429,Orel Mangala,MID,Nott'm Forest,1,0,0,0,3,0,1399,4,0,1,4,11,,27,48%,26,74,70,72,10,4,0,642,0,50%,23,23,0,10,1,10%,1,
430,Loïc Mbe Soh,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
431,Alex Mighten,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
432,Moussa Niakhaté,DEF,Nott'm Forest,0,0,0,0,1,0,797,2,1,1,6,13,35,42,60%,14,98,64,24,16,5,0,688,0,9%,31,11,0,,,,,
433,Moussa Niakhaté,DEF,Nott'm Forest,0,0,0,0,1,0,797,2,1,1,6,13,35,42,60%,14,98,64,24,16,5,0,688,0,9%,31,11,0,,,,,
434,Jonathan Panzo,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
435,Sam Surridge,FWD,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
436,Harry Toffolo,DEF,Nott'm Forest,1,0,0,0,2,0,916,2,0,1,5,12,29,26,54%,14,57,54,48,25,15,3,446,3,34%,17,17,1,,,,,
437,Joe Worrall,DEF,Nott'm Forest,0,0,0,0,1,0,437,0,1,0,3,2,8,7,71%,3,18,21,16,12,10,0,161,0,0%,12,3,0,,,,,
438,Joe Worrall,DEF,Nott'm Forest,0,0,0,0,1,0,437,0,1,0,3,2,8,7,71%,3,18,21,16,12,10,0,161,0,0%,12,3,0,,,,,
439,Ryan Yates,MID,Nott'm Forest,0,0,0,0,1,0,786,3,0,1,9,18,,66,59%,21,110,168,119,43,38,1,817,2,17%,29,54,0,32,7,22%,2,
440,Ryan Yates,MID,Nott'm Forest,0,0,0,0,1,0,786,3,0,1,9,18,,66,59%,21,110,168,119,43,38,1,817,2,17%,29,54,0,32,7,22%,2,
441,George Shelvey,GKP,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
442,George Shelvey,GKP,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
443,Josh Powell,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
444,Gonzalo Montiel,DEF,Nott'm Forest,0,0,0,0,0,0,166,2,0,0,5,6,11,22,86%,9,42,36,30,12,9,2,318,4,6%,14,6,0,,,,,
445,Odysseas Vlachodimos,GKP,Nott'm Forest,0,2,0,0,1,10,450,0,0,0,1,4,12,,,,,,,,,0,153,,,33,0,,,,,,10
446,Andrew Omobamidele,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,2,7,15,10,30%,13,21,20,19,8,10,0,309,0,0%,13,6,0,,,,,
447,Nicolás Domínguez,MID,Nott'm Forest,1,0,0,0,3,0,648,1,0,2,6,14,,63,54%,18,108,107,85,21,19,2,829,2,33%,27,26,1,22,6,27%,1,
448,Nicolás Domínguez,MID,Nott'm Forest,1,0,0,0,3,0,648,1,0,2,6,14,,63,54%,18,108,107,85,21,19,2,829,2,33%,27,26,1,22,6,27%,1,
449,Ibrahim Sangaré,MID,Nott'm Forest,0,0,0,0,4,0,751,4,0,0,3,8,,42,55%,16,70,65,69,9,16,0,419,0,0%,23,22,0,8,0,0%,1,
450,Divock Origi,FWD,Nott'm Forest,0,0,0,0,0,0,176,1,0,0,2,12,,6,,2,,,,,,1,131,5,,,14,0,14,4,29%,4,
451,Auston Trusty,DEF,Sheffield Utd,0,0,0,0,1,0,1002,3,0,0,2,24,81,47,64%,35,89,127,104,63,51,0,846,3,40%,38,23,0,,,,,
452,Auston Trusty,DEF,Sheffield Utd,0,0,0,0,1,0,1002,3,0,0,2,24,81,47,64%,35,89,127,104,63,51,0,846,3,40%,38,23,0,,,,,
453,Cameron Archer,FWD,Sheffield Utd,3,0,0,0,2,0,1210,2,0,4,4,21,,18,,1,,,,,,1,333,6,,,15,0,42,11,26%,6,
454,George Baldock,DEF,Sheffield Utd,0,0,0,0,0,0,653,3,0,0,1,8,21,18,56%,10,44,51,54,15,13,1,319,1,22%,13,19,0,,,,,
455,Chris Basham,DEF,Sheffield Utd,0,0,0,0,0,0,316,1,0,0,0,7,6,7,29%,5,16,20,21,8,8,0,122,0,0%,4,3,0,,,,,
456,Jayden Bogle,DEF,Sheffield Utd,1,0,0,0,2,0,1127,5,0,3,3,25,79,66,55%,32,139,163,154,50,28,0,772,0,25%,34,38,0,,,,,
457,Rhian Brewster,FWD,Sheffield Utd,0,0,0,0,0,0,163,0,0,0,2,10,,5,,1,,,,,,0,73,0,,,5,0,7,3,43%,0,
458,Ismaila Coulibaly,MID,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
459,John Egan,DEF,Sheffield Utd,0,0,0,0,0,0,482,2,0,0,0,5,17,6,67%,13,21,21,21,14,9,0,183,0,0%,5,6,0,,,,,
460,John Fleck,MID,Sheffield Utd,0,0,0,0,0,0,89,1,0,0,0,4,,1,0%,0,5,5,10,2,7,0,40,1,0%,1,2,0,0,0,0%,0,
461,Wes Foderingham,GKP,Sheffield Utd,0,4.67,0,1,1,84,1620,2,0,0,3,23,79,,,,,,,,,0,943,,,228,1,,,,,,133
462,Daniel Jebbison,FWD,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,,,,,,0,3,0,,,0,0,0,0,0%,0,
463,Oliver McBurnie,FWD,Sheffield Utd,2,0,0,0,0,0,587,1,2,6,0,15,,17,,5,,,,,,3,398,3,,,19,1,33,17,52%,7,
464,Iliman Ndiaye,FWD,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
465,Rhys Norrington-Davies,DEF,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,1,3,6,1,100%,1,4,4,7,1,1,0,54,0,0%,1,3,0,,,,,
466,Oliver Norwood,MID,Sheffield Utd,1,0,0,0,0,0,1177,5,0,1,2,19,,41,63%,21,98,65,63,14,17,0,855,1,31%,68,15,0,15,6,40%,0,
467,Oliver Norwood,MID,Sheffield Utd,1,0,0,0,0,0,1177,5,0,1,2,19,,41,63%,21,98,65,63,14,17,0,855,1,31%,68,15,0,15,6,40%,0,
468,Ben Osborn,MID,Sheffield Utd,0,0,0,0,0,0,298,2,0,0,2,18,,22,41%,8,80,44,55,6,22,2,506,1,21%,23,8,0,4,0,0%,0,
469,William Osula,FWD,Sheffield Utd,0,0,0,0,0,0,446,4,0,0,1,17,,2,,2,,,,,,0,90,1,,,15,0,21,8,38%,2,
470,Yasser Larouci,DEF,Sheffield Utd,0,0,0,0,0,0,276,1,0,0,0,9,11,17,53%,7,34,33,25,1,4,0,165,1,0%,2,5,0,,,,,
471,Femi Seriki,DEF,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
472,Antwoine Hackford,FWD,Sheffield Utd,0,0,0,0,0,0,11,0,0,0,0,2,,0,,0,,,,,,0,2,0,,,0,0,0,0,0%,0,
473,Gustavo Hamer,MID,Sheffield Utd,2,0,0,0,2,0,1363,4,0,4,3,26,,39,54%,29,162,90,154,6,16,6,982,10,29%,42,50,0,49,15,31%,1,
474,Gustavo Hamer,MID,Sheffield Utd,2,0,0,0,2,0,1363,4,0,4,3,26,,39,54%,29,162,90,154,6,16,6,982,10,29%,42,50,0,49,15,31%,1,
475,Tom Davies,MID,Sheffield Utd,0,0,0,0,0,0,57,1,0,0,1,7,,10,50%,3,21,17,24,3,3,0,92,0,0%,2,7,0,4,1,25%,0,
476,Ryan Oné,MID,Sheffield Utd,0,0,0,0,0,0,7,0,0,0,0,1,,0,0%,0,1,0,0,0,0,0,1,0,0%,0,0,0,0,0,0%,0,
477,Jili Buyabu,DEF,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
478,Sydie Peck,MID,Sheffield Utd,0,0,0,0,0,0,9,0,0,0,1,0,,0,0%,0,1,0,0,0,0,0,1,0,0%,0,0,0,0,0,0%,0,
479,Brandon Austin,GKP,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
